DISTRICT,map_version,chamber,total_pop,total_vap,bvap,hvap,avap,bipoc_vap,pct_bvap,pct_hvap,pct_avap,pct_bipoc_vap,partisan_lean
55,enacted_2021,house,57259,44089,12405,16608,8817,37831,0.2814,0.3767,0.2,0.8581,1.0
56,enacted_2021,house,59951,46162,19667,9732,3441,32841,0.4261,0.2108,0.0746,0.7114,0.569
57,enacted_2021,house,55169,42480,10024,3061,1060,14146,0.236,0.0721,0.025,0.333,0.3492
58,enacted_2021,house,54612,42051,5886,6617,5393,17896,0.14,0.1574,0.1283,0.4256,0.0628
59,enacted_2021,house,56556,43548,2826,12998,2955,18780,0.0649,0.2985,0.0679,0.4313,0.1064
60,enacted_2021,house,56749,43696,12427,15765,8739,36931,0.2844,0.3608,0.2,0.8452,0.9392
61,enacted_2021,house,53814,41436,12717,394,8287,21399,0.3069,0.0095,0.2,0.5164,0.5704
62,enacted_2021,house,54624,42060,27157,5443,1515,34116,0.6457,0.1294,0.036,0.8111,1.0
63,enacted_2021,house,60963,46941,22306,1604,2363,26274,0.4752,0.0342,0.0504,0.5597,0.4472
64,enacted_2021,house,56869,43789,16079,3218,2756,22053,0.3672,0.0735,0.0629,0.5036,0.5307
65,enacted_2021,house,56762,43706,5331,7650,8741,21723,0.122,0.175,0.2,0.497,0.501
66,enacted_2021,house,57928,44604,5840,907,8920,15668,0.1309,0.0204,0.2,0.3513,-0.0773
67,enacted_2021,house,58440,44998,18823,12285,7106,38215,0.4183,0.273,0.1579,0.8493,0.7969
68,enacted_2021,house,55526,42755,10986,11507,3790,26284,0.257,0.2692,0.0886,0.6148,0.4088
69,enacted_2021,house,54906,42277,8178,2373,2675,13227,0.1934,0.0561,0.0633,0.3129,-0.0553
70,enacted_2021,house,52332,40295,22118,11299,4862,38280,0.5489,0.2804,0.1207,0.95,1.0
71,enacted_2021,house,58446,45003,9191,198,1705,11095,0.2042,0.0044,0.0379,0.2466,-0.1903
72,enacted_2021,house,58432,44992,4014,6886,8452,19353,0.0892,0.1531,0.1879,0.4302,0.1068
73,enacted_2021,house,54732,42143,10759,9364,1365,21488,0.2553,0.2222,0.0324,0.5099,0.3622
74,enacted_2021,house,49512,38124,24029,8692,661,33383,0.6303,0.228,0.0173,0.8756,0.8752
75,enacted_2021,house,55221,42520,4692,9856,2977,17526,0.1104,0.2318,0.07,0.4122,0.3051
76,enacted_2021,house,51734,39835,2175,6613,564,9354,0.0546,0.166,0.0142,0.2348,-0.4655
77,enacted_2021,house,63043,48543,38721,5015,2378,46115,0.7977,0.1033,0.049,0.95,1.0
78,enacted_2021,house,55369,42634,29084,9677,1740,40502,0.6822,0.227,0.0408,0.95,1.0
79,enacted_2021,house,57268,44096,9365,1059,502,10927,0.2124,0.024,0.0114,0.2478,-0.4277
80,enacted_2021,house,58367,44942,13763,10041,42,23847,0.3063,0.2234,0.0009,0.5306,0.1394
81,enacted_2021,house,60279,46414,18725,10828,1037,30591,0.4035,0.2333,0.0223,0.6591,0.6182
82,enacted_2021,house,59166,45557,3789,5159,3904,12853,0.0832,0.1132,0.0857,0.2821,-0.0763
83,enacted_2021,house,59177,45566,24915,7552,1283,33751,0.5468,0.1657,0.0282,0.7407,0.975
84,enacted_2021,house,52701,40579,25596,5705,7195,38496,0.6308,0.1406,0.1773,0.9487,1.0
85,enacted_2021,house,58206,44818,7547,5308,6105,18961,0.1684,0.1184,0.1362,0.4231,0.0614
86,enacted_2021,house,56632,43606,13073,17442,1220,31736,0.2998,0.4,0.028,0.7278,0.8025
87,enacted_2021,house,62148,47853,11973,7199,915,20088,0.2502,0.1504,0.0191,0.4198,0.109
88,enacted_2021,house,55309,42587,6225,1170,2254,9650,0.1462,0.0275,0.0529,0.2266,-0.2696
89,enacted_2021,house,57533,44300,9398,13530,6416,29345,0.2122,0.3054,0.1448,0.6624,0.6358
90,enacted_2021,house,53100,40887,2564,12654,33,15252,0.0627,0.3095,0.0008,0.373,0.052
91,enacted_2021,house,55911,43051,15787,5284,3189,24262,0.3667,0.1228,0.0741,0.5636,0.637
92,enacted_2021,house,52984,40797,16126,791,1053,17972,0.3953,0.0194,0.0258,0.4405,0.1627
93,enacted_2021,house,52754,40620,10816,7116,416,18349,0.2663,0.1752,0.0102,0.4517,0.0184
94,enacted_2021,house,56394,43423,17168,6083,2022,25274,0.3954,0.1401,0.0466,0.5821,0.7704
95,enacted_2021,house,59855,46088,14438,7197,6506,28142,0.3133,0.1562,0.1412,0.6106,0.4437
96,enacted_2021,house,56754,43700,12593,2493,2865,17952,0.2882,0.0571,0.0656,0.4108,-0.1897
97,enacted_2021,house,58670,45175,12209,9864,441,22515,0.2703,0.2184,0.0098,0.4984,0.2267
98,enacted_2021,house,57454,44239,18461,7558,2238,28258,0.4173,0.1708,0.0506,0.6388,0.3949
99,enacted_2021,house,55908,43049,4933,7172,2908,15014,0.1146,0.1666,0.0676,0.3488,-0.1138
100,enacted_2021,house,58370,44944,9073,3569,4100,16743,0.2019,0.0794,0.0912,0.3725,0.2224
101,enacted_2021,house,59789,46037,12972,2631,1974,17578,0.2818,0.0572,0.0429,0.3818,0.0131
102,enacted_2021,house,53844,41459,5649,9071,427,15148,0.1363,0.2188,0.0103,0.3654,0.2252
103,enacted_2021,house,57910,44590,9882,3170,493,13546,0.2216,0.0711,0.0111,0.3038,-0.0992
104,enacted_2021,house,57692,44422,15694,17768,4155,37618,0.3533,0.4,0.0935,0.8469,1.0
105,enacted_2021,house,60040,46230,17546,5883,3252,26681,0.3795,0.1273,0.0703,0.5772,0.3731
106,enacted_2021,house,55420,42673,19783,5371,6781,31936,0.4636,0.1259,0.1589,0.7484,0.7773
107,enacted_2021,house,49623,38209,15613,1759,3820,21193,0.4086,0.0461,0.1,0.5547,0.2767
108,enacted_2021,house,58350,44929,8931,2161,117,11210,0.1988,0.0481,0.0026,0.2495,-0.1316
109,enacted_2021,house,55433,42683,4945,6759,8536,20241,0.1159,0.1584,0.2,0.4742,0.3997
110,enacted_2021,house,57896,44579,1561,11599,6645,19806,0.035,0.2602,0.1491,0.4443,-0.0032
111,enacted_2021,house,57484,44262,26680,2333,1963,30978,0.6028,0.0527,0.0444,0.6999,0.7498
112,enacted_2021,house,57219,44058,15656,5357,3584,24598,0.3554,0.1216,0.0814,0.5583,0.2513
113,enacted_2021,house,58444,45001,10520,791,3676,14988,0.2338,0.0176,0.0817,0.3331,-0.1122
114,enacted_2021,house,56915,43824,14342,13493,8764,36600,0.3273,0.3079,0.2,0.8352,0.9746
115,enacted_2021,house,56638,43611,4494,7494,864,12853,0.1031,0.1718,0.0198,0.2947,-0.2246
116,enacted_2021,house,55515,42746,8832,7663,202,16697,0.2066,0.1793,0.0047,0.3906,-0.0056
117,enacted_2021,house,59895,46119,1392,1543,450,3386,0.0302,0.0335,0.0098,0.0734,-0.511
118,enacted_2021,house,59641,45923,3743,16013,8375,28132,0.0815,0.3487,0.1824,0.6126,0.4219
119,enacted_2021,house,59022,45446,35433,4309,287,40030,0.7797,0.0948,0.0063,0.8808,1.0
120,enacted_2021,house,59176,45565,18781,6022,733,25538,0.4122,0.1322,0.0161,0.5605,0.326
121,enacted_2021,house,55969,43096,16099,3414,2146,21660,0.3736,0.0792,0.0498,0.5026,0.2617
122,enacted_2021,house,56487,43494,5291,6442,263,11997,0.1217,0.1481,0.0061,0.2758,-0.1364
123,enacted_2021,house,59311,45669,18883,10506,9133,38523,0.4135,0.2301,0.2,0.8435,1.0
124,enacted_2021,house,53910,41510,12400,13355,509,26266,0.2987,0.3217,0.0123,0.6328,0.4489
125,enacted_2021,house,59850,46084,27511,628,7440,35580,0.597,0.0136,0.1614,0.7721,1.0
126,enacted_2021,house,60813,46826,38639,4330,1514,44484,0.8252,0.0925,0.0323,0.95,1.0
127,enacted_2021,house,58500,45045,23022,3453,560,27036,0.5111,0.0767,0.0124,0.6002,0.6984
128,enacted_2021,house,56542,43537,17386,8504,1527,27419,0.3994,0.1953,0.0351,0.6298,0.3282
129,enacted_2021,house,55635,42838,11982,5105,2851,19938,0.2797,0.1192,0.0666,0.4654,0.3782
130,enacted_2021,house,52537,40453,19351,16039,1657,37048,0.4784,0.3965,0.041,0.9158,1.0
131,enacted_2021,house,57210,44051,14347,1805,752,16905,0.3257,0.041,0.0171,0.3838,-0.1882
132,enacted_2021,house,56033,43145,8568,4359,22,12950,0.1986,0.101,0.0005,0.3002,-0.0159
133,enacted_2021,house,62506,48129,17116,630,755,18502,0.3556,0.0131,0.0157,0.3844,0.0914
134,enacted_2021,house,54835,42222,22454,4975,8319,35749,0.5318,0.1178,0.197,0.8467,1.0
135,enacted_2021,house,56738,43688,6618,10925,4379,21924,0.1515,0.2501,0.1002,0.5018,0.397
136,enacted_2021,house,51312,39510,6478,9637,7902,24017,0.164,0.2439,0.2,0.6079,0.5594
137,enacted_2021,house,56805,43739,3452,6139,3200,12791,0.0789,0.1404,0.0732,0.2925,-0.203
138,enacted_2021,house,58725,45218,13150,4919,2711,20781,0.2908,0.1088,0.06,0.4596,0.4456
139,enacted_2021,house,53992,41573,16153,1059,316,17529,0.3886,0.0255,0.0076,0.4217,-0.0247
140,enacted_2021,house,59086,45496,30116,3889,9099,43105,0.662,0.0855,0.2,0.9475,1.0
141,enacted_2021,house,56943,43846,12113,7415,4421,23950,0.2763,0.1691,0.1008,0.5462,0.3671
142,enacted_2021,house,53711,41357,7163,10504,6305,23973,0.1732,0.254,0.1525,0.5797,0.5616
143,enacted_2021,house,55136,42454,15175,617,2801,18594,0.3575,0.0146,0.066,0.438,0.3193
144,enacted_2021,house,59040,45460,23591,8213,710,32515,0.519,0.1807,0.0156,0.7153,0.7911
145,enacted_2021,house,55083,42413,14027,9103,2247,25379,0.3307,0.2146,0.053,0.5984,0.1229
146,enacted_2021,house,62819,48370,12636,753,568,13958,0.2612,0.0156,0.0117,0.2886,-0.4786
147,enacted_2021,house,57415,44209,30725,2932,1237,34895,0.695,0.0663,0.028,0.7893,0.7861
148,enacted_2021,house,60791,46809,19874,5596,952,26423,0.4246,0.1196,0.0203,0.5645,0.5704
149,enacted_2021,house,56840,43766,20891,8829,165,29887,0.4774,0.2017,0.0038,0.6829,0.7823
150,enacted_2021,house,54829,42218,2398,4907,2744,10050,0.0568,0.1162,0.065,0.2381,-0.082
151,enacted_2021,house,52688,40569,8142,6575,6729,21448,0.2007,0.1621,0.1659,0.5287,0.2875
152,enacted_2021,house,55598,42810,21828,3294,304,25426,0.5099,0.077,0.0071,0.5939,0.7124
153,enacted_2021,house,60985,46958,5996,5374,1540,12911,0.1277,0.1144,0.0328,0.275,-0.038
154,enacted_2021,house,62321,47987,35436,3041,6708,45186,0.7385,0.0634,0.1398,0.9416,1.0
155,enacted_2021,house,55685,42877,15563,9403,1090,26058,0.363,0.2193,0.0254,0.6077,0.5273
156,enacted_2021,house,53475,41175,18061,9756,3579,31398,0.4387,0.237,0.0869,0.7626,0.8253
157,enacted_2021,house,56389,43419,12374,17367,995,30737,0.285,0.4,0.0229,0.7079,0.4225
158,enacted_2021,house,54333,41836,12247,2771,3248,18267,0.2928,0.0662,0.0776,0.4366,0.0849
159,enacted_2021,house,60363,46479,15265,10486,496,26248,0.3284,0.2256,0.0107,0.5647,0.2403
160,enacted_2021,house,55182,42490,14358,3676,8498,26532,0.3379,0.0865,0.2,0.6245,0.6603
161,enacted_2021,house,56713,43669,27373,1079,4624,33077,0.6268,0.0247,0.1059,0.7575,0.7977
162,enacted_2021,house,61899,47662,11200,6979,8996,27176,0.235,0.1464,0.1888,0.5702,0.2799
163,enacted_2021,house,57910,44590,5705,2661,8918,17285,0.128,0.0597,0.2,0.3877,0.0161
164,enacted_2021,house,56034,43146,11361,2657,8629,22647,0.2633,0.0616,0.2,0.5249,0.6229
165,enacted_2021,house,53070,40863,9019,2130,3064,14214,0.2207,0.0521,0.075,0.3479,0.2003
166,enacted_2021,house,53683,41335,12039,12801,3156,27997,0.2913,0.3097,0.0764,0.6773,0.7953
167,enacted_2021,house,59954,46164,26251,8450,9154,43855,0.5686,0.1831,0.1983,0.95,1.0
168,enacted_2021,house,58914,45363,20688,853,2321,23863,0.4561,0.0188,0.0512,0.5261,0.611
169,enacted_2021,house,56831,43759,10256,5058,4391,19706,0.2344,0.1156,0.1003,0.4503,-0.0164
170,enacted_2021,house,58046,44695,23747,17390,1322,42460,0.5313,0.3891,0.0296,0.95,1.0
171,enacted_2021,house,53698,41347,7893,16189,5848,29931,0.1909,0.3916,0.1414,0.7239,0.6993
172,enacted_2021,house,59654,45933,11816,1164,9186,22167,0.2573,0.0253,0.2,0.4826,0.1069
173,enacted_2021,house,52425,40367,11795,4219,994,17009,0.2922,0.1045,0.0246,0.4214,0.0449
174,enacted_2021,house,60663,46710,7964,4395,3425,15785,0.1705,0.0941,0.0733,0.338,-0.0945
175,enacted_2021,house,58560,45091,19846,3995,354,24196,0.4401,0.0886,0.0079,0.5366,0.4467
176,enacted_2021,house,51205,39427,16283,8382,47,24713,0.413,0.2126,0.0012,0.6268,0.5704
177,enacted_2021,house,58019,44674,24345,5764,723,30833,0.545,0.129,0.0162,0.6902,0.5178
178,enacted_2021,house,62696,48275,10670,12888,1794,25353,0.221,0.267,0.0372,0.5252,0.3076
179,enacted_2021,house,54685,42107,18556,4830,555,23941,0.4407,0.1147,0.0132,0.5686,0.4748
180,enacted_2021,house,58415,44979,21957,12661,8111,42730,0.4882,0.2815,0.1803,0.95,1.0
1,enacted_2024,house,54668,42094,6120,1679,1724,9524,0.1454,0.0399,0.041,0.2263,-0.7387
2,enacted_2024,house,54479,41948,18892,10418,8389,37700,0.4504,0.2484,0.2,0.8988,1.0
3,enacted_2024,house,56265,43324,6807,346,1099,8253,0.1571,0.008,0.0254,0.1905,-0.0816
4,enacted_2024,house,54321,41827,19960,2032,4018,26010,0.4772,0.0486,0.0961,0.6219,0.5066
5,enacted_2024,house,60654,46703,21360,5396,2764,29521,0.4574,0.1156,0.0592,0.6321,0.7152
6,enacted_2024,house,56434,43454,8564,3848,843,13257,0.1971,0.0886,0.0194,0.3051,-0.1879
7,enacted_2024,house,58757,45242,17690,10333,2151,30175,0.391,0.2284,0.0476,0.667,0.6505
8,enacted_2024,house,49665,38242,6453,2335,1393,10183,0.1688,0.0611,0.0364,0.2663,-0.37
9,enacted_2024,house,52202,40195,8309,1355,439,10104,0.2067,0.0337,0.0109,0.2514,-0.0669
10,enacted_2024,house,57488,44265,10468,7439,447,18355,0.2365,0.1681,0.0101,0.4147,0.3354
11,enacted_2024,house,52191,40187,10646,4523,2207,17378,0.2649,0.1126,0.0549,0.4324,0.0129
12,enacted_2024,house,54430,41911,13788,14068,2137,29994,0.329,0.3357,0.051,0.7157,0.6754
13,enacted_2024,house,53776,41407,13585,2946,5218,21750,0.3281,0.0712,0.126,0.5253,0.2873
14,enacted_2024,house,56786,43725,23623,8309,2874,34806,0.5403,0.19,0.0657,0.796,0.8169
15,enacted_2024,house,59800,46046,4392,3391,593,8377,0.0954,0.0737,0.0129,0.1819,-0.336
16,enacted_2024,house,59763,46017,1710,9958,6671,18340,0.0372,0.2164,0.145,0.3986,0.2156
17,enacted_2024,house,55131,42450,20559,4601,7287,32448,0.4843,0.1084,0.1717,0.7644,0.77
18,enacted_2024,house,57330,44144,7040,3696,1210,11948,0.1595,0.0837,0.0274,0.2707,0.0481
19,enacted_2024,house,51016,39282,24602,6738,3152,34494,0.6263,0.1715,0.0803,0.8781,1.0
20,enacted_2024,house,55707,42894,20313,100,623,21037,0.4736,0.0023,0.0145,0.4905,0.2173
21,enacted_2024,house,57025,43909,15831,10063,1152,27047,0.3606,0.2292,0.0262,0.616,0.5747
22,enacted_2024,house,52441,40379,6990,4827,235,12053,0.1731,0.1195,0.0058,0.2985,-0.1309
23,enacted_2024,house,63227,48684,28068,11250,6930,46249,0.5765,0.2311,0.1424,0.95,1.0
24,enacted_2024,house,56937,43841,10299,7347,8768,26415,0.2349,0.1676,0.2,0.6025,0.1939
25,enacted_2024,house,56605,43585,19849,8066,1390,29305,0.4554,0.1851,0.0319,0.6724,0.3469
26,enacted_2024,house,56373,43407,14184,3708,8681,26574,0.3268,0.0854,0.2,0.6122,0.3476
27,enacted_2024,house,59725,45988,25651,4596,4936,35184,0.5578,0.1,0.1073,0.7651,0.8634
28,enacted_2024,house,57892,44576,20560,9924,1966,32450,0.4612,0.2226,0.0441,0.728,0.7041
29,enacted_2024,house,59295,45657,16673,4676,9131,30481,0.3652,0.1024,0.2,0.6676,0.6401
30,enacted_2024,house,59134,45533,17671,18213,2588,38473,0.3881,0.4,0.0568,0.845,1.0
31,enacted_2024,house,54635,42068,28096,4114,4926,37137,0.6679,0.0978,0.1171,0.8828,1.0
32,enacted_2024,house,55732,42913,12412,4048,7953,24414,0.2892,0.0944,0.1853,0.5689,0.4454
33,enacted_2024,house,53646,41307,9428,5985,7573,22988,0.2283,0.1449,0.1833,0.5565,0.5327
34,enacted_2024,house,64270,49487,8763,11390,2943,23097,0.1771,0.2302,0.0595,0.4667,0.0639
35,enacted_2024,house,54152,41697,23464,12360,3787,39612,0.5627,0.2964,0.0908,0.95,1.0
36,enacted_2024,house,54714,42129,945,7284,3139,11368,0.0224,0.1729,0.0745,0.2699,-0.1282
37,enacted_2024,house,56556,43548,588,2409,1273,4270,0.0135,0.0553,0.0292,0.0981,-0.4643
38,enacted_2024,house,54793,42190,9048,4021,2740,15810,0.2145,0.0953,0.065,0.3747,0.1094
39,enacted_2024,house,57482,44261,15773,2145,1886,19806,0.3564,0.0485,0.0426,0.4475,0.3931
40,enacted_2024,house,54730,42142,16141,1645,3795,21582,0.383,0.039,0.0901,0.5121,0.5047
41,enacted_2024,house,59324,45679,10321,11356,9135,30813,0.226,0.2486,0.2,0.6746,0.589
42,enacted_2024,house,54819,42210,22764,2907,1441,27113,0.5393,0.0689,0.0342,0.6424,0.4679
43,enacted_2024,house,55926,43063,14238,5542,2142,21924,0.3306,0.1287,0.0498,0.5091,0.3954
44,enacted_2024,house,59344,45694,25700,17007,701,43409,0.5624,0.3722,0.0154,0.95,1.0
45,enacted_2024,house,58602,45123,21285,14971,6610,42866,0.4717,0.3318,0.1465,0.95,1.0
46,enacted_2024,house,56258,43318,21690,2733,1342,25766,0.5007,0.0631,0.031,0.5948,0.6747
47,enacted_2024,house,54248,41770,13030,4266,19,17316,0.312,0.1021,0.0005,0.4146,0.1554
48,enacted_2024,house,54134,41683,7188,1026,297,8512,0.1724,0.0246,0.0071,0.2042,-0.1126
49,enacted_2024,house,53568,41247,18998,2832,5087,26918,0.4606,0.0687,0.1233,0.6526,0.5674
50,enacted_2024,house,58162,44784,23586,6074,1191,30852,0.5267,0.1356,0.0266,0.6889,0.7342
51,enacted_2024,house,57119,43981,16545,17489,1482,35518,0.3762,0.3977,0.0337,0.8076,0.8117
52,enacted_2024,house,56552,43545,11182,7210,1906,20299,0.2568,0.1656,0.0438,0.4662,0.2222
53,enacted_2024,house,54064,41629,19507,4537,209,24254,0.4686,0.109,0.005,0.5826,0.4052
54,enacted_2024,house,60112,46286,4708,7026,284,12020,0.1017,0.1518,0.0062,0.2597,-0.1582
55,enacted_2024,house,58688,45189,3187,17112,690,20990,0.0705,0.3787,0.0153,0.4645,0.2296
56,enacted_2024,house,58948,45389,30564,1508,1442,33515,0.6734,0.0332,0.0318,0.7384,0.8735
57,enacted_2024,house,55798,42964,13367,1191,1755,16314,0.3111,0.0277,0.0409,0.3797,-0.159
58,enacted_2024,house,55816,42978,2917,6950,8595,18464,0.0679,0.1617,0.2,0.4296,0.0643
59,enacted_2024,house,59871,46100,9416,15401,247,25065,0.2043,0.3341,0.0054,0.5437,0.5881
60,enacted_2024,house,57244,44077,2403,432,1251,4087,0.0545,0.0098,0.0284,0.0927,-0.4771
61,enacted_2024,house,50927,39213,8106,3496,15,11618,0.2067,0.0892,0.0004,0.2963,-0.0145
62,enacted_2024,house,52977,40792,13769,8155,527,22452,0.3375,0.1999,0.0129,0.5504,0.5541
63,enacted_2024,house,57176,44025,24389,2523,127,27041,0.554,0.0573,0.0029,0.6142,0.6387
64,enacted_2024,house,62127,47837,13438,1767,1177,16383,0.2809,0.0369,0.0246,0.3425,-0.0363
65,enacted_2024,house,54773,42175,11875,791,1383,14050,0.2816,0.0188,0.0328,0.3331,-0.1339
66,enacted_2024,house,58315,44902,5697,3567,3408,12673,0.1269,0.0794,0.0759,0.2822,-0.1039
67,enacted_2024,house,50403,38810,22978,2256,3481,28717,0.5921,0.0582,0.0897,0.74,1.0
68,enacted_2024,house,51757,39852,14579,15113,2112,31805,0.3658,0.3792,0.053,0.7981,1.0
69,enacted_2024,house,57264,44093,155,9654,4235,14045,0.0035,0.219,0.0961,0.3185,-0.1272
70,enacted_2024,house,54607,42047,16970,16818,431,34220,0.4036,0.4,0.0103,0.8139,1.0
71,enacted_2024,house,58430,44991,23667,16,226,23910,0.526,0.0004,0.005,0.5314,0.3966
72,enacted_2024,house,56518,43518,12894,871,1087,14854,0.2963,0.02,0.025,0.3413,0.1282
73,enacted_2024,house,59764,46018,13528,5123,317,18969,0.294,0.1113,0.0069,0.4122,0.0899
74,enacted_2024,house,61241,47155,7371,5501,445,13317,0.1563,0.1167,0.0094,0.2824,-0.1498
75,enacted_2024,house,58547,45081,23569,13252,2850,39672,0.5228,0.294,0.0632,0.88,1.0
76,enacted_2024,house,52207,40199,7168,11817,3934,22919,0.1783,0.294,0.0979,0.5702,0.4528
77,enacted_2024,house,57024,43908,19941,5691,6296,31929,0.4542,0.1296,0.1434,0.7272,0.5163
78,enacted_2024,house,58285,44879,23587,5383,3955,32926,0.5256,0.1199,0.0881,0.7337,1.0
79,enacted_2024,house,54896,42269,7237,4954,473,12665,0.1712,0.1172,0.0112,0.2996,-0.1872
80,enacted_2024,house,55451,42697,4772,4503,2072,11347,0.1118,0.1055,0.0485,0.2658,-0.0898
